ID,TARGET
33624,0.0
33625,0.0
33626,0.0
3362,0.0
33628,0.0
33629,0.0
33630,0.0
33631,0.0
133952,6.0
133953,6.0
133954,6.0
133955,6.0
133956,6.0
13395,6.0
133958,6.0
133959,6.0
82680,0.0
82681,0.0
82682,0.0
82683,0.0
82684,0.0
82685,0.0
82686,0.0
8268,0.0
2136,0.0
213,0.0
2138,0.0
2139,0.0
21380,0.0
21381,0.0
21382,0.0
21383,0.0
816,0.0
81,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
113224,0.0
113225,0.0
113226,0.0
11322,0.0
113228,0.0
113229,0.0
113230,0.0
113231,0.0
616,0.0
61,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
51312,0.0
51313,0.0
51314,0.0
51315,0.0
51316,0.0
5131,0.0
51318,0.0
51319,0.0
6696,0.0
669,0.0
6698,0.0
6699,0.0
600,0.0
601,0.0
602,0.0
603,0.0
6512,0.0
6513,0.0
6514,0.0
6515,0.0
6516,0.0
651,0.0
6518,0.0
6519,0.0
10016,0.0
1001,0.0
10018,0.0
10019,0.0
100180,0.0
100181,0.0
100182,0.0
100183,0.0
9952,18.5
9953,18.5
9954,18.5
9955,18.5
9956,18.5
995,18.5
9958,18.5
9959,18.5
2328,12.5
2329,12.5
2330,12.5
2331,12.5
2332,12.5
2333,12.5
2334,12.5
2335,12.5
11080,0.0
11081,0.0
11082,0.0
11083,0.0
11084,0.0
11085,0.0
11086,0.0
1108,0.0
5096,0.0
509,0.0
5098,0.0
5099,0.0
50980,0.0
50981,0.0
50982,0.0
50983,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
151,0.0
1518,0.0
1519,0.0
83624,0.0
83625,0.0
83626,0.0
8362,0.0
83628,0.0
83629,0.0
83630,0.0
83631,0.0
16912,0.0
16913,0.0
16914,0.0
16915,0.0
16916,0.0
1691,0.0
16918,0.0
16919,0.0
95960,0.0
95961,0.0
95962,0.0
95963,0.0
95964,0.0
95965,0.0
95966,0.0
9596,0.0
36520,0.0
36521,0.0
36522,0.0
36523,0.0
36524,0.0
36525,0.0
36526,0.0
3652,0.0
12816,6.5
1281,6.5
12818,6.5
12819,6.5
128180,6.5
128181,6.5
128182,6.5
128183,6.5
8356,0.0
835,0.0
8358,0.0
8359,0.0
83580,0.0
83581,0.0
83582,0.0
83583,0.0
16800,0.0
16801,0.0
16802,0.0
16803,0.0
16804,0.0
16805,0.0
16806,0.0
1680,0.0
95848,0.0
95849,0.0
95850,0.0
95851,0.0
95852,0.0
95853,0.0
95854,0.0
95855,0.0
138624,0.0
138625,0.0
138626,0.0
13862,0.0
138628,0.0
138629,0.0
138630,0.0
138631,0.0
36568,0.0
36569,0.0
3650,0.0
3651,0.0
3652,0.0
3653,0.0
3654,0.0
3655,0.0
128288,0.0
128289,0.0
128290,0.0
128291,0.0
128292,0.0
128293,0.0
128294,0.0
128295,0.0
9402,0.0
9403,0.0
9404,0.0
9405,0.0
9406,0.0
940,0.0
9408,0.0
9409,0.0
98000,0.0
98001,0.0
98002,0.0
98003,0.0
98004,0.0
98005,0.0
98006,0.0
9800,0.0
56624,0.0
56625,0.0
56626,0.0
5662,0.0
56628,0.0
56629,0.0
56630,0.0
56631,0.0
116968,0.0
116969,0.0
11690,0.0
11691,0.0
11692,0.0
11693,0.0
11694,0.0
11695,0.0
2440,0.0
2441,0.0
2442,0.0
2443,0.0
2444,0.0
2445,0.0
2446,0.0
244,0.0
50928,2.0
50929,2.0
50930,2.0
50931,2.0
50932,2.0
50933,2.0
50934,2.0
50935,2.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
112,0.0
1128,0.0
1129,0.0
109024,0.0
109025,0.0
109026,0.0
10902,0.0
109028,0.0
109029,0.0
109030,0.0
109031,0.0
11316,0.0
1131,0.0
11318,0.0
11319,0.0
113180,0.0
113181,0.0
113182,0.0
113183,0.0
864,0.0
865,0.0
866,0.0
86,0.0
868,0.0
869,0.0
80,0.0
81,0.0
51200,0.0
51201,0.0
51202,0.0
51203,0.0
51204,0.0
51205,0.0
51206,0.0
5120,0.0
504,0.0
505,0.0
506,0.0
50,0.0
508,0.0
509,0.0
510,0.0
511,0.0
12202,16.5
12203,16.5
12204,16.5
12205,16.5
12206,16.5
1220,16.5
12208,16.5
12209,16.5
6584,0.0
6585,0.0
6586,0.0
658,0.0
6588,0.0
6589,0.0
6590,0.0
6591,0.0
100288,10.5
100289,10.5
100290,10.5
100291,10.5
100292,10.5
100293,10.5
100294,10.5
100295,10.5
28624,0.0
28625,0.0
28626,0.0
